"Name","Price","Location","Total_Area","Price_per_SQFT","Description","Baths","Balcony","Number of BHK","City"
"Raghavendra Colony, Ramachandra Puram,Hyderabad","₹31.0 L","Raghavendra Colony",800,3880,"A 2 BHK Apartment for sale in Ramachandra Puram, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Ramachandra Puram's most desired properties. Contact now for more information. This 2 BHK unit is on floor 0. There are 4 floors in this property. The price of this Apartment is Rs 31.0 L. Maintenance charges come to Rs 700. Each unit has a built-up area of 800 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Bachpan Play School, Beeramguda, r.s.s.school.Hirekeru...",4,"No",2,"Ramachandra Puram"
"DNR Ashoka Hill Park","₹61.97 L","RTC Colony",1215,5100,"Very close to hitech city and gachi bowli 1.5 km from GSM mall Madeenaguda semi gated premium flats 2BHK and 3BHK 1215 to 1650 East and West facing  More About This Property Check out this 2 BHK Apartment for sale in Miyapur, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Miyapur is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 5. The propert...",3,"Yes",2,"Miyapur"
"Manneguda, Hyderabad","₹43.0 L","Manneguda",950,4530,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Ragannaguda. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 5 floors. This Apartment is available at a reasonable price of Rs 43.0 L. Maintenance charges in this property is Rs 1500. The built up area of this property is 950 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Vashista Model High School, Vashista Model High School,Ragannaguda., and Jayapradam S...",3,"No",2,"Hyderabad"
"Sri Venkateshwara Colony, Balapur,Hyderabad","₹86.0 L","Sri Venkateshwara Colony",1230,6990,"Check out this 2 BHK Independent House for sale in Balapur, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Independent House is perfect for a modern-day lifestyle. Balapur is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 86.0 L. This property is a modern-day abode, with 1230 Square feet built-up area. It is a East-facing property. The unit has 2 bedrooms and 2 bathroom. Educational institutions are closeby with schools such as...",3,"No",2,"Balapur"
"Sita Pramod Elite","₹101 L","Hyderaguda",1620,6230,"3 BHK Apartment for sale in Hyderabad. This property is in Attapur, which is a coveted investment location. This tastefully designed 3 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 2. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 101 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1620 Square feet. It has 3 bathroom and 3 bedrooms. Some ...",3,"Yes",3,"Attapur"
"sikhara apartments,Film Nagar, Jubilee Hills,Hyderabad","₹210 L","sikhara apartments,Film Nagar",2256,9310,"A 3 BHK Flat newly constructed in the prime locality. Each Floor has 4 flats only. 
Built as per vasthu.  More About This Property Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Hyderabad's top location, Film Nagar. It is situated on floor 0. The total number of floors in this Apartment is 4. The property price of this unit is Rs 210 L. The built-up area is 2256 Square feet. There are 3 bedrooms and 4 bathroom. This property enjoys a good view and is West-facing. This property in Film...",4,"Yes",3,"Jubilee Hills"
"siddhartha enclave,Sri Ram Nagar Colony, Banjara Hills,Hyderabad","₹160 L","siddhartha enclave,Sri Ram Nagar Colony",2021,7920,"Looking for a 3 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 3 BHK property in Hyderabad's finest location, Banjara Hills. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 5 floors. This Apartment is available at a reasonable price of Rs 160 L. Maintenance charges in this property is Rs 3300. The built up area of this property is 2021 Square feet. This property is North facing. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. This property has power backup facility. Regular water supply is available. Ther...",4,"Yes",3,"Banjara Hills"
"Prashanthi Hills, Almasguda,Hyderabad","₹95.0 L","Prashanthi Hills",2000,4750,"Best 5 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 5 BHK property for sale in one of Hyderabad's top location, Almasguda. The property price of this unit is Rs 95.0 L. The built-up area is 2000 Square feet. There are 5 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Silver Drops Kids World Montessori School, Prashanthi Hills Branch, Silver Drops Kids World Montessori School, and Chaitanya International School. Healthcare facility is also close at hand with...",2,"Yes",5,"Almasguda"
"Kanaka Durga Colony, Karwan,Hyderabad","₹135 L","Kanaka Durga Colony",1305,10340,"This property located in a area where more rental demand. Has muncipal permission for  more 2 floors on top. Very near to Gudimalkapur Flower Market, Vegetable Market. Good Connectivity with medical, transport and entertainment zones, Near by Airport Flyover (PVNR Express way). Very Near to Upcoming Dmart. More About This Property Looking for a good 3 BHK Independent House in Karwan, Hyderabad? This property is in one of Hyderabad's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 0. This Independent House is available for Rs 135 L. This mod...",3,"No",3,"Karwan"
"Cybercity Marina Skies","₹120 L","Sevalal Nagar",1550,7740,"3 BHK Apartment for sale in Hyderabad. This property is in Borabanda, which is a coveted investment location. This tastefully designed 3 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 11. The total number of floors in this Apartment is 30. The price of the Apartment is Rs 125 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1550 Square feet. It has 3 bathroom and 3 bedrooms. S...",3,"Yes",3,"Borabanda"
"sharadha elegance,Sanjeev Nagar, Malkajgiri,Hyderabad","₹64.0 L","sharadha elegance,Sanjeev Nagar",1080,5920,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Malkajgiri. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 4 floors. This Apartment is available at a reasonable price of Rs 64.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1080 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Delhi Public School, Vijay Mary High School, and Saint. Martin's School. Medical facilit...",3,"Yes",2,"Malkajgiri"
"Sri Srinivasa Apartments","₹89.0 L","Punjagutta Officers Colony",1650,5390,"A 3 BHK Apartment for sale in Punjagutta, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Punjagutta's most desired properties. Contact now for more information. This 3 BHK unit is on floor 4. There are 4 floors in this property. The price of this Apartment is Rs 99.0 L. Maintenance charges come to Rs 1650. Each unit has a built-up area of 1650 Square feet. The carpet area is 1650 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Sivani High School, Vidya Nik...",3,"Yes",3,"Punjagutta"
"Sai Nivas","₹50.0 L","Jangareddy Colony",1150,4350,"Property for sale in Hayathnagar, Hyderabad. This 2 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 5. This Apartment's price is Rs 50.0 L. The built-up area is 1150 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Krishnaveni Hospitals(Multi speciality), Sunrise Hospitals, and dog house. Schools like Primary School Government, Vivekananda ...",3,"Yes",2,"Hayathnagar"
"Suraram Village, Suraram,Hyderabad","₹40.0 L","Suraram Village",1035,3860,"2 BHK Apartment for sale in Hyderabad. This property is in Suraram, which is a coveted investment location. This tastefully designed 2 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 3. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 40.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1035 Square f...",3,"Yes",2,"Suraram"
"Ohana Summit","₹91.0 L","Salivahana Colony",1555,5850,"Property for sale in Hafeezpet, Hyderabad. This 3 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 5. This Apartment's price is Rs 91.0 L. This Apartment is a spacious unit, with carpet area of 1245 Square feet and is ideal for families. The built-up area is 1555 Square feet. The property has 3 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing property. This Apartment is strategically located within close distance of famo...",3,"No",3,"Hafeezpet"
"Siva Sai Puram, Badangpet,Hyderabad","₹36.5 L","Siva Sai Puram",940,3880,"One of the finest property in Badangpet is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 2 storeyed building. The price of this Apartment is Rs 37.5 L. Other charges when you move into this property include maintenance, which is Rs 700. This Apartment is spacious with a built-up area of 940 Square feet. The carpet area is 920 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as lords talent upper school badangpet, lords candy pre prima...",3,"Yes",2,"Badangpet"
"Annapurna Enclave, Chandanagar,Hyderabad","₹30.0 L","Annapurna Enclave",950,3160,"2 BHK Apartment for sale in Chandanagar, Hyderabad. This 2 BHK unit is available in Chandanagar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Chandanagar. It is on floor 3. The total number of floors is 3. The price of this Apartment is Rs 33.0 L. The built-up area is 950 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Pranaam Hospital, Apollo Clinic, and Srikara Hospitals-Miyapur. The city's best schools ...",3,"No",2,"Chandanagar"
"Nadergul, Hyderabad","₹78.0 L","Nadergul",1250,6240,"A 2 BHK Independent House for sale in Nadergul, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Nadergul's most desired properties. Contact now for more information. The price of this Independent House is Rs 78.0 L. Each unit has a built-up area of 1250 Square feet. This East-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. This is a gated community. This residential property is near Delhi Public School, St.Pauls High School, and Loyala Model School. It is also clos...",3,"Yes",2,"Hyderabad"
"Laxmi aaradhya residency ,Siva Sai Puram, Badangpet,Hyderabad","₹55.0 L","Laxmi aaradhya residency ,Siva Sai Puram",917,6000,"Property for sale in Badangpet, Hyderabad. This 2 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 4. This Apartment's price is Rs 55.0 L. Homebuyers will also need to pay Rs 1000 towards maintenance. This Apartment is a spacious unit, with carpet area of 917 Square feet and is ideal for families. The built-up area is 917 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a West facing property. This resi...",3,"Yes",2,"Badangpet"
"Sandy Spring apartmens,Shirdi Sai Nagar, Manikonda,Hyderabad","₹100 L","Sandy Spring apartmens,Shirdi Sai Nagar",1870,5350,"A 3 BHK Apartment for sale in Manikonda, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Manikonda's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 5 floors in this property. The price of this Apartment is Rs 120 L. Maintenance charges come to Rs 3000. Each unit has a built-up area of 1870 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Dr.Pradeep joshi Astrologer, Online Astrologer And Yoga Therapist, a...",3,"Yes",3,"Manikonda"
"P R Residency","₹55.0 L","Vikas Nagar",1150,4780,"Property is 8 months old. Price is negitiable. 2 bhk, east facing. Spacious with 2 balconies. Very good for family and near to Highbtech city, shamshabad airport More About This Property Check out this 2 BHK Apartment for sale in Bandlaguda, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Bandlaguda is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this projec...",3,"No",2,"Bandlaguda Jagir"
"G R Enclave II ,ALEAP Industrial Area, Gajularamaram,Hyderabad","₹66.0 L","G R Enclave II ,ALEAP Industrial Area",1230,5370,"Ideal for a family looking for all the facilities like schools, hospitals, shopping malls, recreational parks,temples etc. with near by access to prime areas like kukatpally, JNTUH and nizampet. ample ground water 24/7 and corporation manjeera water every alternate days supply. Allocated car parking, lift, power generator and 24/7 security. surroundings are clean and garbage free for a beautiful living experience.  More About This Property A 2 BHK Apartment for sale in Gajularamaram, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day...",3,"No",2,"Gajularamaram"
"Ananda Homes Bay Hills","₹180 L","Narsingi",1926,9350,"Looking for a good 3 BHK Apartment in Narsingi, Hyderabad? This property is in one of Hyderabad's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 6. This Apartment is available for Rs 195 L. This modern unit has a built-up area of 1926 Square feet. There are 3 bedrooms and 3 bathroom. Lift is available in this Apartment. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This prope...",3,"Yes",3,"Hyderabad"
"MAHALAKSHMI DEVELOPERS ,Prasanth Nagar, Malkajgiri,Hyderabad","₹69.0 L","MAHALAKSHMI DEVELOPERS ,Prasanth Nagar",1310,5270,"One of the finest property in Malkajgiri is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 5. It is a 5 storeyed building. The price of this Apartment is Rs 69.0 L. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 1310 Square feet. The carpet area is 1049 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Delhi Public School, KV Srinivas mama, and Govt Primar...",3,"No",3,"Malkajgiri"
"Chengicherla, Hyderabad","₹118 L","Chengicherla",2000,5900,"A 4 BHK Independent House for sale in Chengicherla, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Chengicherla's most desired properties. Contact now for more information. The price of this Independent House is Rs 118 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 2000 Square feet. The carpet area is 2000 Square feet. This East-facing property has an excellent view. There are 4 bedrooms. There is provision for 4 bathroom. It is a thoroughly secure premise with cctv facility. Other faci...",4,"Yes",4,"Hyderabad"
"Srinidhi Apartments","₹45.0 L","New Vasavi Nagar",1060,4250,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Karkhana. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 4 floors. This Apartment is available at a reasonable price of Rs 45.0 L. Maintenance charges in this property is Rs 1200. The built up area of this property is 1060 Square feet. It is spacious for a family and this property has a carpet area of 920 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Imp...",3,"No",2,"Karkhana"
"Annojiguda, Badesahebguda,Hyderabad","₹96.0 L","Annojiguda",2150,4460,"Looking for a 4 BHK Independent House for sale in Hyderabad? Your search ends here. Buy this 4 BHK property in Hyderabad's finest location, Badesahebguda. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 96.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 2150 Square feet. There are 4 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as Princeton Institute of Engineering & Technology For Women, Faker Tekya Govt.School, and Rashtriya Vidya...",4,"Yes",4,"Badesahebguda"
"Sri Sai Tarun Enclave, LB Nagar,Hyderabad","₹90.0 L","Sri Sai Tarun Enclave",1500,6000,"3 BHK Apartment for sale in L B Nagar, Hyderabad. This 3 BHK unit is available in L B Nagar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in L B Nagar. It is on floor 2. The total number of floors is 5. The price of this Apartment is Rs 90.0 L. It is a good, spacious Apartment unit with carpet area of 850 Square feet. The built-up area is 1500 Square feet. There are 3 bedrooms and 2 bathroom. This property is at a walking distance from Kamineni Hospitals...",3,"No",3,"LB Nagar"
"Tanmayi Residency","₹60.0 L","Puppal Guda",1205,4980,"2 BHK Apartment for sale in Qutub Shahi Tombs, Hyderabad with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Qutub Shahi Tombs which is a promising investment destination in Hyderabad. This might be your chance to grab the best 2 BHK property for sale in Qutub Shahi Tombs. The property is on floor 5 and the total number of floors is 5. This 2 BHK Apartment is available at a reasonable price of Rs 60.0 L. Residents also need to pay maintenance charges of Rs 1500. The built-up area is 1205 Square feet. This property has provisi...",3,"No",2,"Qutub Shahi Tombs"
"Peerzadiguda, Hyderabad","₹110 L","Peerzadiguda",1774,6200,"Looking for a good 4 BHK Independent House in Peerzadiguda, Hyderabad? This property is in one of Hyderabad's most popular locations. This is a no brokerage property. This Independent House is available for Rs 110 L. This modern unit has a built-up area of 1774 Square feet. There are 8 bedrooms and 2 bathroom. Cctv facility is provided to ensure safety. Regular water supply is provided. It is very close to some of city's best hospitals, such as, Apollo Clinic, LifeSpring Maternity Hospital, and Apex Hospitals. Established schools, such as Nazareth Children Home, United Independence of Muzix S...",3,"Yes",4,"Hyderabad"
"Sln heights,Kukatpally, Hyderabad","₹87.0 L","Sln heights,Kukatpally",1350,6440,"East phasing,separate gate, only two flats per floor, indipendent walls, fully furnished with modular kitchen, besides main road,24hrs ghmc water, 3 balconies having grills with glasses, faulse roofing for all the rooms, 1km from JNTU and 2km from the metro station. Malls, schools and Hospitals are in near viscinity. 
covering  separate car & bike parking in basement. More About This Property Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Kukatpally. This is an owner listed property and there is no brokerage i...",3,"Yes",2,"Hyderabad"
"Prime Legend","₹110 L","Camelot Layout",1198,9180,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Kondapur. This is an owner listed property and there is no brokerage involved. It is on floor 3 out of 9 floors. This Apartment is available at a reasonable price of Rs 110 L. Maintenance charges in this property is Rs 2796. The built up area of this property is 1198 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Yoga Studio and School, Kendriya Vidyalaya, Gachibowli, and CHIREC International School...",3,"No",2,"Kondapur"
"Aparna Kanopy Marigold","₹115 L","Kompally",1750,6570,"Property for sale in Kompally, Hyderabad. This 3 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 10. The total number of floors in this building is 15. This Apartment's price is Rs 115 L. The built-up area is 1750 Square feet. The property has 3 bedrooms and 3 bathroom. This unit enjoys a good view and is a West facing property. This residential building in Kompally, Hyderabad has lift facility. There is dedicated space for sports amenities such as sports facility. Kids too have access to a k...",3,"Yes",3,"Hyderabad"
"Alpine Heights","₹175 L","Raj Bhavan Quarters Colony",1985,8820,"Property for sale in Somajiguda, Hyderabad. This 3 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 8. This Apartment's price is Rs 175 L. Homebuyers will also need to pay Rs 3500 towards maintenance. The built-up area is 1985 Square feet. The property has 3 bedrooms and 2 bathroom. This unit enjoys a good view and is a South facing property. This residential building in Somajiguda, Hyderabad has lift facility. There is dedicated space for spor...",3,"Yes",3,"Somajiguda"
"Wind Chimes","₹85.25 L","Narsingi",1185,7190,"2 BHK Apartment for sale in Narsingi, Hyderabad with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Narsingi which is a promising investment destination in Hyderabad. This might be your chance to grab the best 2 BHK property for sale in Narsingi. The property is on floor 8 and the total number of floors is 12. This 2 BHK Apartment is available at a reasonable price of Rs 85.5 L. Residents also need to pay maintenance charges of Rs 4000. It is a very spacious property, spread over 1000 Square feet. The built-up area is 1185 Sq...",3,"Yes",2,"Hyderabad"
"NMR Aashrith","₹50.0 L","Turkayamjal",1100,4540,"Property for sale in Turkayamjal, Hyderabad. This 2 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 5. This Apartment's price is Rs 50.0 L. The built-up area is 1100 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Sai Medical Store, jayasri hospital, and Royal Medical & General Stores. Schools like KRISHNAVENI HIGH SCHOOL TURKYAMJAL, Sri V...",3,"Yes",2,"Hyderabad"
"Ahmedguda, Hyderabad","₹73.0 L","Ahmedguda",1200,6080,"Property for sale in Ahmedguda, Hyderabad. This 2 BHK Independent House is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 73.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1200 Square feet. The property has 6 bedrooms and 2 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as sv poly clinic, Shri Adithya Hospitals, and Divya Sai Childrens Vaidyalaya. Schools like Government School RGK, VR...",3,"Yes",2,"Hyderabad"
"Indresham, Hyderabad","₹110 L","Indresham",2100,5240,"Looking for a good 4 BHK Independent House in Indresham, Hyderabad? This property is in one of Hyderabad's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 0. This Independent House is available for Rs 110 L. This modern unit has a built-up area of 2100 Square feet. There are 4 bedrooms and 4 bathroom. It is very close to some of city's best hospitals, such as, TRR GENERAL HOSPITAL. Established schools, such as VSR Modell High School, Government School, and AMALTAS GREEN SCHOOL are also close-by",4,"Yes",4,"Hyderabad"
"Aditya Empress Towers","₹160 L","OU Colony",1825,8770,"3 BHK Apartment for sale in Hyderabad. This property is in Shaikpet, which is a coveted investment location. This tastefully designed 3 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Hyderabad is on floor 7. The total number of floors in this Apartment is 22. The price of the Apartment is Rs 160 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1825 Square fe...",3,"Yes",3,"Shaikpet"
"SASR4,Kistareddypet, Hyderabad","₹47.0 L","SASR4,Kistareddypet",1200,3920,"A 2 BHK Apartment for sale in Kistareddypet, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kistareddypet's most desired properties. Contact now for more information. This 2 BHK unit is on floor 5. There are 5 floors in this property. The price of this Apartment is Rs 47.0 L. Each unit has a built-up area of 1200 Square feet. The carpet area is 1100 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Dusseldorf The School, ZPHS KISTAREDDYPET, and SAI TECHNO SC...",3,"Yes",2,"Hyderabad"
"Balaji hills,Isnapur, Hyderabad","₹82.0 L","Balaji hills,Isnapur",1400,5860,"Property for sale in Isnapur, Hyderabad. This 2 BHK Independent House is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 82.0 L. The built-up area is 1400 Square feet. The property has 2 bedrooms and 3 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Jeevan Hospitals, Kakatiya Hospital, and SM hospital. Schools like St.Mary's Grammar High School, Telangana Sanghika Sankshema Gurukul School, and S.M.School are also nearby",3,"No",2,"Hyderabad"
"PDR Arcade Apartment","₹55.0 L","Naidu Colony",1023,5380,"2 BHK Apartment for sale in Upparpally, Hyderabad with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Upparpally which is a promising investment destination in Hyderabad. This might be your chance to grab the best 2 BHK property for sale in Upparpally. The property is on floor 5 and the total number of floors is 5. This 2 BHK Apartment is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 1800. The built-up area is 1023 Square feet. This property has provision for 2 bathroom. It...",3,"No",2,"Upparpally"
"Pedda Gunta, Sivarampalli,Hyderabad","₹121 L","Pedda Gunta",2600,4650,"Looking for a 3 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 3 BHK property in Hyderabad's finest location, Sivarampalli. This is an owner listed property and there is no brokerage involved. It is on floor 6 out of 6 floors. This Apartment is available at a reasonable price of Rs 121 L. Maintenance charges in this property is Rs 2000. The built up area of this property is 2600 Square feet. It is spacious for a family and this property has a carpet area of 2000 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such ...",4,"Yes",3,"Sivarampalli"
"Nestcon Elegant Cove","₹85.0 L","Rajiv Gandhi Nagar",1680,5060,"Property for sale in Bowenpally, Hyderabad. This 3 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 6. The total number of floors in this building is 6. This Apartment's price is Rs 90.0 L. The built-up area is 1680 Square feet. The property has 3 bedrooms and 3 bathroom. This unit enjoys a good view and is a West facing property. This residential building in Bowenpally, Hyderabad has lift facility. This property also enjoys power backup facility. Regular water supply is available. This is a gat...",3,"Yes",3,"Bowenpally"
"Radha Krishna Society, Borabanda,Hyderabad","₹90.0 L","Radha Krishna Society",999,9010,"2 BHK Independent House for sale in Borabanda, Hyderabad with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Borabanda which is a promising investment destination in Hyderabad. This might be your chance to grab the best 2 BHK property for sale in Borabanda. This 2 BHK Independent House is available at a reasonable price of Rs 90.0 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 999 Square feet. This property has provision for 1 bathroom. It enjoys a strategic location with many reputed ...",3,"Yes",2,"Borabanda"
"Alekhya Blue Lotus Apartments,Mega Hills, Madhapur,Hyderabad","₹102 L","Alekhya Blue Lotus Apartments,Mega Hills",1235,8260,"Alekhya Homes Blue Lotus  located in Madhapur is a fine living apartment located very near to IT  hub. Located 1.5 km from Hitech city. Vasthu complaint , East facing corner flat with ample light and air. Its located in a very prime location.  The apartment is near to hospitals like Yashoda , Kims , Apollo etc. Also near to Shopping malls, Hitech city Railway station, Hitech city Metro station ,Restaurants etc. Also the location is peaceful. More About This Property One of the finest property in Madhapur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it you...",3,"No",2,"Madhapur"
"CSK Green Villas","₹59.0 L","Shadnagar",1560,3780,"Silpa Csk Green Villas is a gated community project developed by Silpa Group. The project spread over on sprawling 183 acres of land with 11,500 sq. ft club-house with luxury amenities in the community. The project is approved by HMDA and offering gated community plots and constructed Villas.  More About This Property Best 4 BHK Villa for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Hyderabad's top location, Shadnagar. The property price of this unit is Rs 59.0 L. Monthly maintenance costs Rs 0. The built-up...",3,"No",4,"Hyderabad"
"Sai krishnaja hills,Bachupally, Hyderabad","₹71.0 L","Sai krishnaja hills,Bachupally",1358,5230,"This 3 BHK apartment is available for sale in Sai Krishnaja hills HUDA layout, one of the most prominent projects for flats in Krishnaja hills, Hyderabad. The flat is facing the North-East direction. The flat occupies a Carpet Area of 1358 sq.ft. that consists of 3 bedrooms, 2 bathrooms and 3 balconies. The flat building has a total of 5 floors and this property is situated on first floor. The beautifully designed Vitrified flooring enhances the beauty of the flat. Colony having 3 parks, batmenton court, senior citizen walking place, colony having all over 40 feet wide roads, beautiful nature ...",3,"No",3,"Hyderabad"
